PICNO,jd,alpha (Deg),delta (Deg),sigma_alpha cos(delta),sigma_delta
51920B+08,2447290.99259041,297.25654,-18.30199,0.00035,0.00034
51920B+15,2447290.99646818,297.25668,-18.30199,0.00035,0.00034
51920B+22,2447291.00035706,297.25680,-18.30203,0.00035,0.00034
51920B+29,2447291.00423483,297.25694,-18.30204,0.00035,0.00034
51924B+42,2447291.14482356,297.26126,-18.30345,0.00035,0.00034
51925B+09,2447291.15980131,297.26167,-18.30359,0.00035,0.00034
51925B+18,2447291.16482352,297.26187,-18.30374,0.00033,0.00030
51925B+27,2447291.16981797,297.26202,-18.30380,0.00033,0.00030
51925B+36,2447291.17481240,297.26214,-18.30375,0.00033,0.00030
51925B+45,2447291.17980129,297.26238,-18.30387,0.00033,0.00030
53819B+57,2447354.32028610,297.22053,-18.31085,0.00035,0.00035
53820B+07,2447354.32583609,297.22049,-18.31059,0.00035,0.00035
53820B+27,2447354.33693052,297.22071,-18.31032,0.00035,0.00035
53820B+37,2447354.34248606,297.22082,-18.31018,0.00035,0.00035
53855B+56,2447355.51972419,297.25986,-18.29671,0.00035,0.00034
53856B+02,2447355.52305752,297.26003,-18.29678,0.00035,0.00034
53856B+08,2447355.52639084,297.26008,-18.29672,0.00035,0.00034
53856B+14,2447355.52972418,297.26030,-18.29683,0.00035,0.00034
53856B+20,2447355.53305751,297.26038,-18.29680,0.00035,0.00034
53856B+26,2447355.53639083,297.26046,-18.29677,0.00035,0.00034
53856B+32,2447355.53972972,297.26063,-18.29684,0.00035,0.00034
53856B+38,2447355.54306305,297.26062,-18.29671,0.00035,0.00034
53857B+32,2447355.57298524,297.26185,-18.29702,0.00035,0.00034
53857B+44,2447355.57965190,297.26213,-18.29711,0.00035,0.00034
53857B+50,2447355.58298523,297.26225,-18.29712,0.00035,0.00034
53857B+56,2447355.58631855,297.26239,-18.29717,0.00035,0.00034
53858B+02,2447355.58965188,297.26256,-18.29724,0.00035,0.00034
53858B+08,2447355.59304077,297.26264,-18.29722,0.00035,0.00034
53858B+14,2447355.59637409,297.26280,-18.29728,0.00035,0.00034
53858B+20,2447355.59970743,297.26290,-18.29728,0.00035,0.00034
53858B+32,2447355.60638519,297.26312,-18.29730,0.00036,0.00034
53858B+38,2447355.60971853,297.26322,-18.29730,0.00036,0.00034
53858B+44,2447355.61305186,297.26334,-18.29732,0.00035,0.00034
53858B+50,2447355.61638518,297.26356,-18.29745,0.00035,0.00034
53858B+56,2447355.61971852,297.26362,-18.29742,0.00035,0.00034
53859B+02,2447355.62305185,297.26383,-18.29754,0.00036,0.00034
53859B+08,2447355.62638517,297.26386,-18.29747,0.00036,0.00034
53859B+14,2447355.62971850,297.26396,-18.29747,0.00036,0.00034
