PICNO,t_sec,x_km,y_km,z_km,alpha_0,delta_0
51920B+08,2282.469,-297472717.8,577672976.6,215192073.5,297.20,-18.33
51920B+15,2282.452,-297470278.2,577668229.3,215190304.8,297.20,-18.33
51920B+22,2282.434,-297467831.5,577663468.3,215188531.2,297.20,-18.33
51920B+29,2282.417,-297465391.9,577658721,215186762.5,297.20,-18.33
51924B+42,2281.786,-297376943.5,577486606.5,215122641.3,297.20,-18.33
51925B+09,2281.72,-297367520.5,577468270.1,215115810.1,297.20,-18.33
51925B+18,2281.698,-297364360.9,577462121.8,215113519.5,297.20,-18.33
51925B+27,2281.676,-297361218.7,577456007.4,215111241.6,297.20,-18.33
51925B+36,2281.654,-297358076.6,577449893,215108963.7,297.20,-18.33
51925B+45,2281.632,-297354937.9,577443785.4,215106688.3,297.20,-18.33
53819B+57,1976.572,-257629474.2,500175183.1,186322361,297.22,-18.33
53820B+07,1976.542,-257625982.2,500168393.8,186319832,297.22,-18.33
53820B+27,1976.481,-257619001.8,500154821.9,186314776.5,297.22,-18.33
53820B+37,1976.45,-257615506.3,500148025.8,186312245,297.22,-18.33
53855B+56,1970.439,-256874803.5,498707917.8,185775808.4,297.22,-18.33
53856B+02,1970.424,-256872706.2,498703840.2,185774289.5,297.22,-18.33
53856B+08,1970.408,-256870609,498699762.6,185772770.6,297.22,-18.33
53856B+14,1970.393,-256868511.7,498695685,185771251.7,297.22,-18.33
53856B+20,1970.377,-256866414.4,498691607.3,185769732.8,297.22,-18.33
53856B+26,1970.362,-256864317.1,498687529.7,185768213.9,297.22,-18.33
53856B+32,1970.346,-256862216.3,498683445.3,185766692.4,297.22,-18.33
53856B+38,1970.331,-256860119,498679367.7,185765173.5,297.22,-18.33
53857B+32,1970.193,-256841292.2,498642764.3,185751538.9,297.22,-18.33
53857B+44,1970.163,-256837097.6,498634609.1,185748501.1,297.22,-18.33
53857B+50,1970.147,-256835000.3,498630531.5,185746982.2,297.22,-18.33
53857B+56,1970.132,-256832903,498626453.9,185745463.3,297.22,-18.33
53858B+02,1970.117,-256830805.7,498622376.3,185743944.4,297.22,-18.33
53858B+08,1970.101,-256828673.5,498618230.7,185742400.2,297.22,-18.33
53858B+14,1970.086,-256826576.2,498614153.1,185740881.3,297.22,-18.33
53858B+20,1970.071,-256824478.9,498610075.5,185739362.4,297.22,-18.33
53858B+32,1970.04,-256820277.3,498601906.7,185736319.6,297.22,-18.33
53858B+38,1970.025,-256818180,498597829.1,185734800.7,297.22,-18.33
53858B+44,1970.01,-256816082.7,498593751.5,185733281.8,297.22,-18.33
53858B+50,1969.995,-256813985.4,498589673.9,185731762.9,297.22,-18.33
53858B+56,1969.979,-256811888.1,498585596.3,185730244,297.22,-18.33
53859B+02,1969.964,-256809790.8,498581518.7,185728725.1,297.22,-18.33
53859B+08,1969.949,-256807693.5,498577441.1,185727206.2,297.22,-18.33
53859B+14,1969.934,-256805596.2,498573363.4,185725687.3,297.22,-18.33
53859B+20,1969.919,-256803495.4,498569279,185724165.8,297.22,-18.3:3
53859B+26,1969.904,-256801398.1,498565201.4,185722646.9,297.22,-18.3:3
53859B+32,1969.888,-256799300.8,498561123.8,185721128.1,297.22,-18.3:3
53859B+38,1969.873,-256797203.5,498557046.2,185719609.2,297.22,-18.3:3
53859B+44,1969.858,-256795106.2,498552968.6,185718090.3,297.22,-18.33
53859B+50,1969.843,-256793008.9,498548891,185716571.4,297.22,-18.3:3
53859B+56,1969.828,-256790911.6,498544813.4,185715052.5,297.22,-18.33
53860B+02,1969.813,-256788814.3,498540735.8,185713533.6,297.22,-18.3:3
53860B+08,1969.798,-256786713.5,498536651.4,185712012.1,297.22,-18.33
53860B+14,1969.783,-256784616.2,498532573.8,185710493.2,297.22,-18.33
53860B+20,1969.768,-256782518.9,498528496.2,185708974.4,297.22,-18.33
53860B+26,1969.753,-256780421.6,498524418.6,185707455.5,297.22,-18.33
53860B+32,1969.738,-256778324.3,498520341,185705936.6,297.22,-18.33
53860B+38,1969.723,-256776227,498516263.4,185704417.7,297.22,-18.33
53860B+44,1969.707,-256774129.7,498512185.7,185702898.8,297.22,-18.3:3
53860B+50,1969.692,-256772032.4,498508108.1,185701379.9,297.22,-18.33
